date,AAPL,AMZN,GOOGL,JPM,MSFT
2013-02-08,67.8542,261.95,393.0777,48.63,27.55
2013-02-11,68.5614,257.21,391.6012,48.66,27.86
2013-02-12,66.8428,258.7,390.7403,49.14,27.88
2013-02-13,66.7156,269.47,391.8214,48.68,28.03
2013-02-14,66.6556,269.24,394.3039,49.22,28.04
2013-02-15,65.7371,265.09,396.8414,48.88,28.01
2013-02-19,65.7128,269.75,403.8284,49.45,28.045
2013-02-20,64.1214,266.41,396.6262,48.61,27.87
2013-02-21,63.7228,265.94,398.1628,48.25,27.49
2013-02-22,64.4014,265.42,400.2549,48.91,27.76
2013-02-25,63.2571,259.87,395.7804,47.7,27.37
2013-02-26,64.1385,259.36,395.4601,47.6,27.37
2013-02-27,63.5099,263.25,400.2899,49.28,27.81
2013-02-28,63.0571,264.27,401.0006,48.92,27.8
2013-03-01,61.4957,265.74,403.4981,48.91,27.95
2013-03-04,60.0071,273.11,411.1628,49.1,28.15
2013-03-05,61.5919,275.59,419.7213,49.49,28.35
2013-03-06,60.8088,273.79,416.1057,50.03,28.09
2013-03-07,61.5117,273.88,416.7143,50.63,28.14
2013-03-08,61.6742,274.19,416.1758,50.2,28.0
2013-03-11,62.5528,271.24,417.8274,50.48,27.87
2013-03-12,61.2042,274.13,414.2188,50.28,27.91
2013-03-13,61.1928,275.1,413.0677,50.16,27.915
2013-03-14,61.7857,265.74,411.1808,51.0,28.135
2013-03-15,63.3799,261.82,407.5582,50.02,28.035
2013-03-18,65.1028,257.89,404.2989,49.51,28.1
2013-03-19,64.9271,256.41,406.0657,49.2,28.18
2013-03-20,64.5828,257.278,407.7614,49.12,28.315
2013-03-21,64.6756,253.39,406.0356,48.35,28.11
2013-03-22,65.9871,257.75,405.5602,48.78,28.25
2013-03-25,66.2256,256.02,405.2248,48.52,28.16
2013-03-26,65.8765,260.31,406.6162,48.64,28.155
2013-03-27,64.5828,265.3,401.7313,47.77,28.37
2013-03-28,63.2371,266.49,397.4911,47.46,28.605
2013-04-01,61.2728,261.61,400.9956,47.83,28.61
2013-04-02,61.3988,263.322,406.9265,48.28,28.8
2013-04-03,61.7128,259.03,403.5041,46.85,28.56
2013-04-04,61.1028,259.08,397.9325,47.49,28.595
2013-04-05,60.4571,255.48,391.9165,47.91,28.7
2013-04-08,60.8871,258.95,387.8124,48.58,28.59
2013-04-09,60.9971,261.14,389.2138,48.68,29.61
2013-04-10,62.2414,264.77,395.4851,49.25,30.28
2013-04-11,62.0471,269.85,395.5902,49.31,28.935
2013-04-12,61.3999,272.87,395.42,49.01,28.79
2013-04-15,59.9785,267.72,391.356,47.93,28.69
